DATE,RealizedReturns10Factor,RealizedReturnsCTEF,RealizedReturnsKNN,RealizedReturnsNN
2009-07-01,[ 0.23919999],[ 0.07129967],[ 0.10716496],[ 0.14520449]
2009-08-01,[ 0.10052318],[ 0.20753823],[ 0.03570001],[ 0.06289745]
2009-09-01,[ 0.13799999],[ 0.01758363],[ 0.09789714],[ 0.07690233]
2009-10-01,[-0.09991398],[-0.04253096],[-0.00989999],[-0.07259943]
2009-11-01,[-0.00979346],[ 0.05886613],[ 0.06250005],[ 0.11117544]
2009-12-01,[-0.02836511],[ 0.03651603],[ 0.0390462],[ 0.05480063]
2010-01-01,[ 0.01364686],[-0.01447825],[ 0.06693547],[-0.05009975]
2010-02-01,[ 0.03930975],[ 0.01725855],[ 0.04636521],[ 0.05949456]
2010-03-01,[ 0.06354013],[ 0.07199783],[ 0.09319999],[-0.01179953]
2010-04-01,[ 0.09583353],[ 0.10581765],[ 0.0579],[ 0.07584134]
2010-05-01,[-0.0709],[-0.09176585],[-0.0624],[-0.04800001]
2010-06-01,[-0.13199957],[-0.0323],[-0.07659999],[-0.08430014]
2010-07-01,[ 0.07390001],[ 0.0801],[ 0.0905577],[ 0.06050093]
2010-08-01,[-0.0159],[-0.05944227],[-0.03139999],[-0.004302]
2010-09-01,[ 0.14559995],[ 0.11313989],[ 0.12884131],[ 0.12739939]
2010-10-01,[-0.05131197],[ 0.03252315],[ 0.02579994],[ 0.0376015]
2010-11-01,[ 0.04763112],[ 0.03419998],[ 0.0627],[-0.02709941]
2010-12-01,[ 0.12429998],[ 0.11209998],[ 0.09869999],[ 0.11909974]
2011-01-01,[-0.00167886],[ 0.05259622],[-0.05220763],[-0.0064998]
2011-02-01,[ 0.1073132],[ 0.02442363],[-0.02187947],[ 0.01109879]
2011-03-01,[ 0.01352214],[ 0.0091709],[-0.05789947],[ 0.0468002]
2011-04-01,[ 0.07625644],[ -8.01431044e-06],[ 0.09509988],[ 0.00170381]
2011-05-01,[-0.02959926],[-0.03379054],[-0.0267],[-0.03708708]
2011-06-01,[-0.01359559],[-0.00683036],[-0.02548154],[-0.00240033]
2011-07-01,[-0.03026877],[-0.02821147],[-0.013],[ 0.00479952]
2011-08-01,[-0.05060013],[-0.07333619],[-0.05589078],[-0.08047742]
2011-09-01,[-0.0931],[-0.12736706],[-0.08613313],[-0.11490762]
2011-10-01,[ 0.1148],[ 0.1707],[ 0.0741],[ 0.14549887]
2011-11-01,[-0.02588791],[ 0.07188955],[ 0.00589999],[-0.0868677]
2011-12-01,[ 0.03369999],[-0.0452],[-0.0141],[ 0.00238321]
2012-01-01,[ 0.1136207],[ 0.11526109],[ 0.14841713],[ 0.08628885]
2012-02-01,[ 0.00082754],[ 0.02442907],[ 0.09654751],[ 0.07052392]
2012-03-01,[-0.0138],[-0.0058],[ 0.0181],[ 0.06312963]
2012-04-01,[-0.08846198],[-0.02100002],[ 0.05339999],[-0.05790147]
2012-05-01,[ 0.00640001],[-0.07411057],[-0.06646685],[-0.06452766]
2012-06-01,[ 0.04008068],[ 0.01565364],[ 0.032],[ 0.06939962]
2012-07-01,[-0.07584847],[-0.03729949],[ 0.02160026],[ 0.00040096]
2012-08-01,[-0.00919999],[ 0.01122276],[-0.03159999],[ 0.05779997]
2012-09-01,[ 0.0574],[ 0.08],[-0.01339999],[ 0.03919398]
2012-10-01,[-0.04029992],[-0.06209999],[-0.0217],[-0.11039871]
2012-11-01,[-0.01100105],[ 0.0029],[ 0.03236802],[ 0.01868172]
2012-12-01,[ 0.01827962],[ 0.02811921],[ 0.05310002],[ 0.02579942]
2013-01-01,[ 0.09151427],[ 0.06081063],[ 0.08249998],[ 0.06520095]
2013-02-01,[ 0.0307],[ 0.0042043],[ 0.04124094],[-0.00660011]
2013-03-01,[ 0.0105],[ 0.01960001],[-0.00339991],[ 0.10849917]
2013-04-01,[-0.01769983],[-0.01415015],[ 0.01339993],[ 0.02509813]
2013-05-01,[ 0.1271034],[-0.02729989],[ 0.01050002],[ 0.08579995]
2013-06-01,[-0.05499998],[-0.00045974],[-0.032],[-0.07869902]
2013-07-01,[ 0.28029986],[ 0.08269622],[ 0.10740004],[ 0.05965829]
2013-08-01,[ 0.05429999],[-0.00405393],[-0.01937759],[ 0.00080444]
2013-09-01,[ 0.17979864],[ 0.0416],[ 0.1121],[ 0.0420011]
2013-10-01,[ 0.06658246],[ 0.03931154],[ 0.00219984],[ 0.04349905]
2013-11-01,[ 0.02451865],[ 0.00605196],[-0.03259999],[ 0.06070038]
2013-12-01,[-0.019],[-0.00109878],[ 0.05103388],[-0.01206897]
2014-01-01,[ 0.05310059],[-0.0098],[ 0.02879976],[ 0.05220007]
2014-02-01,[ 0.04780003],[ 0.042584],[ 0.01720004],[ 0.14849969]
2014-03-01,[-0.0863],[ 0.00290331],[-0.0347],[-0.01150015]
2014-04-01,[-0.07089999],[-0.07586511],[-0.06979993],[-0.03036602]
2014-05-01,[-0.00324039],[ 0.0006],[-0.0322],[-0.01540267]
2014-06-01,[ 0.1063345],[ 0.10690505],[ 0.05279975],[ 0.04350007]
2014-07-01,[-0.03538364],[-0.07513055],[-0.05619997],[-0.0603]
2014-08-01,[-0.0116001],[-0.04211629],[-0.0052],[ 0.04090009]
2014-09-01,[-0.0200945],[-0.06754426],[-0.0204],[-0.08410123]
2014-10-01,[ 0.03071152],[-0.00299992],[ 0.0917],[ 0.06189981]
2014-11-01,[-0.01269999],[-0.0224747],[ 0.00389998],[ 0.00390005]
2014-12-01,[ 0.03110028],[-0.00209998],[-0.0192],[ 0.04010284]
2015-01-01,[-0.00289539],[-0.03369993],[-0.0396],[-0.03590006]
2015-02-01,[ 0.02810015],[ 0.04433035],[ 0.03569998],[ 0.06259982]
2015-03-01,[-0.01430116],[-0.02126858],[ 0.00072753],[ 0.0075016]
2015-04-01,[ 0.0302],[-0.0596717],[-0.01529999],[-0.02039806]
2015-05-01,[ 0.00919972],[ 0.01117081],[ 0.08049999],[-0.00119986]
2015-06-01,[-0.02140001],[-0.008],[-0.0302],[ 0.02269823]
2015-07-01,[-0.0728],[-0.0333],[-0.0405],[-0.00370396]
2015-08-01,[-0.14990278],[-0.044],[-0.0692],[-0.11499827]
2015-09-01,[-0.17439994],[-0.07770173],[-0.03076082],[-0.0043011]
2015-10-01,[ 0.0249001],[ 0.05271005],[-0.00505655],[ 0.03300001]
2015-11-01,[ 0.07285294],[ 0.04789665],[ 0.02194975],[-0.00519984]
2015-12-01,[ 0.03479989],[-0.08740001],[-0.06419994],[-0.04360003]
2016-01-01,[-0.20255725],[-0.05588522],[-0.05410001],[-0.13024465]
2016-02-01,[-0.0444],[-0.06520072],[-0.06109999],[-0.01569986]
2016-03-01,[ 0.42109972],[ 0.04240002],[ 0.1009],[ 0.10870773]
2016-04-01,[ 0.13029999],[-0.0569438],[ 0.03442214],[ 0.01869969]
2016-05-01,[ 0.0416],[-0.05250001],[ 0.004],[ 0.02038601]
2016-06-01,[ 0.09065485],[-0.0039],[-0.0161],[-0.04481003]
2016-07-01,[ 0.0735],[ 0.0912],[ 0.0289],[ 0.05090006]
2016-08-01,[ 0.03749989],[-0.02719998],[ 0.0338999],[ 0.06429948]
2016-09-01,[ 0.01419995],[ 0.0271],[ 0.03799994],[ 0.01560159]
2016-10-01,[-0.09629999],[-0.0735],[-0.09679992],[-0.02109999]
2016-11-01,[ 0.101],[ 0.1026],[ 0.00040001],[ 0.09880016]
2016-12-01,[ 0.04679999],[-0.0349179],[ 0.0318],[-0.05399946]
2017-01-01,[ 0.10483383],[ 0.02409999],[ 0.0198],[-0.02029769]
2017-02-01,[ 0.04990001],[ 0.02954246],[ 0.0601],[ 0.01519969]
2017-03-01,[-0.00954163],[-0.03389998],[ 0.00069989],[-0.08289892]
2017-04-01,[-0.01249996],[-0.00931396],[ 0.026],[-0.00309871]
2017-05-01,[-0.00010001],[-0.03299999],[ 0.00309999],[ 0.05339974]
2017-06-01,[-0.0115],[ 0.01283386],[ 0.09579999],[-0.00869624]
2017-07-01,[-0.0189],[ 0.01564552],[-0.01279996],[-0.01707084]
2017-08-01,[ 0.0225],[-0.01920441],[-0.03340005],[ 0.01019985]
2017-09-01,[ 0.30439996],[ 0.00578681],[ 0.03580001],[ 0.05971181]
2017-10-01,[ 0.0025001],[-0.01299999],[ 0.0427],[ 0.0419999]
2017-11-01,[-0.03739996],[-0.01631276],[-0.0069],[-0.06899954]
2017-12-01,[-0.06010002],[-0.01239999],[-0.0025],[ 0.04677196]
